sku,name,description,image_link,link,category_id,price,mfr_cost,shipping_cost,total_cost,margin_percentage,min_price,status,inventory
sku01,Diamond finger ring,"his uniquely designed 22 Karat yellow gold ring features a gold loop joined to a stippled abstract motif with cut-outs, set in a polished band",50D3I3FKUAA09_2.jpg,,2,12000,12000,12000,36000,3,35999,1,100
sku02,Diamond finger ring,"his uniquely designed 22 Karat yellow gold ring features a gold loop joined to a stippled abstract motif with cut-outs, set in a polished band",50D3B2FTMAA02_2.webp,,2,180000,2000,1000,18300,5,17600,1,100
sku03,Diamond finger ring,"his uniquely designed 22 Karat yellow gold ring features a gold loop joined to a stippled abstract motif with cut-outs, set in a polished band",50D3I3FDVAB02_2.webp,,2,20000,2000,1000,23000,3,22000,1,100
sku04,Diamond finger ring,"his uniquely designed 22 Karat yellow gold ring features a gold loop joined to a stippled abstract motif with cut-outs, set in a polished band",51O3DHFCTAA00_2.webp,,2,25000,2000,1000,28000,7,27900,1,100
sku05,Timeless Beauty Gold Stud Earrings,Stay evergreen with this versatile pair of stud earrings cast in 22 Karat Yellow Gold.,50D3C1SBRAGA02_1.webp,,3,30000,2000,1000,33000,2,32700,1,100
sku06,Timeless Beauty Gold Stud Earrings,Stay evergreen with this versatile pair of stud earrings cast in 22 Karat Yellow Gold.,55O4B2DDJABA29_1.webp,,3,35000,2000,1000,38000,4,35900,1,100
sku07,Timeless Beauty Gold Stud Earrings,Stay evergreen with this versatile pair of stud earrings cast in 22 Karat Yellow Gold.,2923HJU.jpg,,3,32000,2000,1000,35000,2,34200,1,100
sku08,Timeless Beauty Gold Stud Earrings,Stay evergreen with this versatile pair of stud earrings cast in 22 Karat Yellow Gold.,ER0827AR-1_626.jpg,,3,50000,2000,1000,53000,3,51960,1,100
sku09,Timeless Beauty Gold Stud Earrings,Stay evergreen with this versatile pair of stud earrings cast in 22 Karat Yellow Gold.,ER01501-1_555.jpg,,3,48900,2000,1000,51900,6,50999,1,100
sku10,Timeless Beauty Gold Stud Earrings,Stay evergreen with this versatile pair of stud earrings cast in 22 Karat Yellow Gold.,VLER00005-1_456.jpg,,3,43000,2000,1000,46000,4,43900,1,100
sku11,Unmatched Opulence Diamond Neckalce,"Grace yourself with this diamond necklace, a dazzling embodiment of sophistication that goes beyond fleeting trends and let the radiance of diamonds elevate your presence to a level of unmatched opulence.",50O2MS2BYABA32_2.webp,,1,53000,2000,1000,56000,2,55300,1,100
sku12,Unmatched Opulence Diamond Neckalce,"Grace yourself with this diamond necklace, a dazzling embodiment of sophistication that goes beyond fleeting trends and let the radiance of diamonds elevate your presence to a level of unmatched opulence.",50W3KP2SLABA28_2.jpg,,1,120000,2000,1000,123000,4,116000,1,100
sku13,Unmatched Opulence Diamond Neckalce,"Grace yourself with this diamond necklace, a dazzling embodiment of sophistication that goes beyond fleeting trends and let the radiance of diamonds elevate your presence to a level of unmatched opulence.",51D3B1NITAA00_2.webp,,1,97000,2000,1000,100000,6,98000,1,100
sku14,Unmatched Opulence Diamond Neckalce,"Grace yourself with this diamond necklace, a dazzling embodiment of sophistication that goes beyond fleeting trends and let the radiance of diamonds elevate your presence to a level of unmatched opulence.",51O2EINGMAA00_1.jpg,,1,76000,2000,1000,79000,3,78500,1,100
sku15,Unmatched Opulence Diamond Neckalce,"Grace yourself with this diamond necklace, a dazzling embodiment of sophistication that goes beyond fleeting trends and let the radiance of diamonds elevate your presence to a level of unmatched opulence.",512815NBAAA00_1.jpg,,1,65000,2000,1000,68000,7,64700,1,100
sku16,Unmatched Opulence Diamond Neckalce,"Grace yourself with this diamond necklace, a dazzling embodiment of sophistication that goes beyond fleeting trends and let the radiance of diamonds elevate your presence to a level of unmatched opulence.",513920NHPAA00_1.jpg,,1,65900,2000,1000,68900,4,67900,1,100
sku17,Unmatched Opulence Diamond Neckalce,"Grace yourself with this diamond necklace, a dazzling embodiment of sophistication that goes beyond fleeting trends and let the radiance of diamonds elevate your presence to a level of unmatched opulence.",50D3B2FTMAA02_22.webp,,1,56000,2000,1000,59000,1,58700,1,100
