sku,name
ABC123,Amazing Product
XYZ456,Fantastic Item
QWERTY,Superb Good
ASDFG,Incredible Thing
ZXCVB,Great Stuff
PLK098,Excellent Item
UIO765,Outstanding Product
JHG321,Superior Thing
EDC456,Awesome Item
BNM987,Brilliant Product
MNB123,Perfect Item
VCF456,Exceptional Thing
QWE654,Spectacular Product
RTY789,Marvelous Item
POI321,Extraordinary Product
LKJ123,Exceptional Thing
NBV654,Superb Product
MNB789,Outstanding Item
JHG456,Remarkable Product
POI098,Exceptional Thing
ZXC321,Incredible Product
PLM789,Fantastic Item
OKN456,Extraordinary Product
LKJ654,Excellent Thing
JHV789,Awesome Item
HGT321,Superior Product
DFG456,Outstanding Thing
KJH789,Incredible Product
GFD123,Marvelous Item
TRY456,Great Product
